date,media_main_roads
2020-01-07,12620.0
2020-01-14,17584.0
2020-01-21,17181.0
2020-01-28,16971.0
2020-02-04,16634.0
2020-02-11,16782.0
2020-02-18,16754.0
2020-02-25,16359.0
2020-03-03,15316.0
2020-03-10,16177.0
2020-03-17,12435.0
2020-03-24,6724.0
2020-03-31,6248.0
2020-04-07,6704.0
2020-04-14,6747.0
2020-04-21,8292.0
2020-04-28,10298.0
2020-05-05,11471.0
2020-05-12,13510.0
2020-05-19,14580.0
2020-05-26,14724.0
2020-06-02,15553.0
2020-06-09,15840.0
2020-06-16,15628.0
2020-06-23,18551.0
2020-06-30,16893.0
2020-07-07,18010.0
2020-07-14,18311.0
2020-07-21,18434.0
2020-07-28,17750.0
2020-08-04,17478.0
2020-08-11,16231.0
2020-08-18,15395.0
2020-08-25,17713.0
2020-09-01,17538.0
2020-09-08,18106.0
2020-09-15,16804.0
2020-09-22,16442.0
2020-09-29,16403.0
2020-10-06,17219.0
2020-10-13,17895.0
2020-10-20,17572.0
2020-10-27,16021.0
2020-11-03,16034.0
2020-11-10,14816.0
2020-11-17,15008.0
2020-11-24,15775.0
2020-12-01,15864.0
2020-12-08,13815.0
2020-12-15,14419.0
2020-12-22,15459.0
2020-12-29,11053.0
2021-01-07,8589.0
2021-01-14,13694.0
2021-01-21,14113.0
2021-01-28,13423.0
2021-02-04,13907.0
2021-02-11,13846.0
2021-02-18,14187.0
2021-02-25,14431.0
2021-03-04,15508.0
2021-03-11,15263.0
2021-03-18,16184.0
2021-03-25,15034.0
2021-04-01,16570.0
2021-04-08,15661.0
2021-04-15,16740.0
2021-04-22,16967.0
2021-04-29,17281.0
2021-05-06,16623.0
2021-05-13,17991.0
2021-05-20,16271.0
2021-05-27,16769.0
2021-06-03,18105.0
2021-06-10,16830.0
2021-06-17,18376.0
2021-06-24,18250.0
2021-07-01,16380.0
2021-07-08,18229.0
2021-07-15,17722.0
2021-07-22,17981.0
2021-07-29,17438.0
2021-08-05,16351.0
2021-08-12,15791.0
2021-08-19,16157.0
2021-08-26,17311.0
2021-09-02,17821.0
2021-09-09,17124.0
2021-09-16,19463.0
2021-09-23,17458.0
2021-09-30,17304.0
2021-10-07,16945.0
2021-10-14,18008.0
2021-10-21,17691.0
2021-10-28,17793.0
2021-11-04,15215.0
2021-11-11,16652.0
2021-11-18,16548.0
2021-11-25,16740.0
2021-12-02,16660.0
2021-12-09,15374.0
2021-12-16,16728.0
2021-12-23,16921.0
2021-12-30,12819.0
2022-01-07,10791.0
2022-01-14,14266.0
2022-01-21,17088.0
2022-01-28,19624.0
2022-02-04,20239.0
2022-02-11,19417.0
2022-02-18,16929.0
2022-02-25,16795.0
2022-03-04,16249.0
2022-03-11,16356.0
2022-03-18,16233.0
2022-03-25,16497.0
2022-04-01,17004.0
2022-04-08,17056.0
2022-04-15,17896.0
2022-04-22,16012.0
2022-04-29,16901.0
2022-05-06,17471.0
2022-05-13,17648.0
2022-05-20,17835.0
2022-05-27,17068.0
2022-06-03,17469.0
2022-06-10,16877.0
2022-06-17,17166.0
2022-06-24,17332.0
2022-07-01,16253.0
2022-07-08,17036.0
2022-07-15,17402.0
2022-07-22,17728.0
2022-07-29,17818.0
2022-08-05,15785.0
2022-08-12,15763.0
2022-08-19,15241.0
2022-08-26,17724.0
2022-09-02,17645.0
2022-09-09,16968.0
2022-09-16,17564.0
2022-09-23,17297.0
2022-09-30,16116.0
2022-10-07,16492.0
2022-10-14,16279.0
2022-10-21,16576.0
2022-10-28,15809.0
2022-11-04,14260.0
2022-11-11,15501.0
2022-11-18,15662.0
2022-11-25,15670.0
2022-12-02,15785.0
2022-12-09,14733.0
2022-12-16,15382.0
2022-12-23,16242.0
2022-12-30,12484.0
2023-01-07,11875.0
2023-01-14,14957.0
2023-01-21,15600.0
2023-01-28,15915.0
2023-02-04,16226.0
2023-02-11,16245.0
2023-02-18,16306.0
2023-02-25,15259.0
2023-03-04,16009.0
2023-03-11,16666.0
2023-03-18,16736.0
2023-03-25,16811.0
2023-04-01,16961.0
2023-04-08,17644.0
2023-04-15,15449.0
2023-04-22,17090.0
2023-04-29,17482.0
2023-05-06,16216.0
2023-05-13,17144.0
2023-05-20,15820.0
2023-05-27,17256.0
2023-06-03,18039.0
2023-06-10,17449.0
2023-06-17,18931.0
2023-06-24,18861.0
2023-07-01,17169.0
2023-07-08,17810.0
2023-07-15,18254.0
2023-07-22,18722.0
2023-07-29,18388.0
2023-08-05,15904.0
2023-08-12,16560.0
2023-08-19,15783.0
2023-08-26,17195.0
2023-09-02,16233.0
2023-09-09,16403.0
2023-09-16,16754.0
2023-09-23,15702.0
2023-09-30,16956.0
2023-10-07,16769.0
2023-10-14,16474.0
2023-10-21,15777.0
2023-10-28,15501.0
2023-11-04,13247.0
2023-11-11,14889.0
2023-11-18,15435.0
2023-11-25,16123.0
2023-12-02,15965.0
2023-12-09,15002.0
2023-12-16,15746.0
2023-12-23,16363.0
2023-12-30,11804.0
2024-01-07,11760.0
2024-01-14,14480.0
2024-01-21,15133.0
2024-01-28,15479.0
2024-02-04,15632.0
2024-02-11,15353.0
2024-02-18,14828.0
2024-02-25,15546.0
2024-03-03,15186.0
2024-03-10,15768.0
2024-03-17,16082.0
2024-03-24,15659.0
2024-03-31,16048.0
2024-04-07,14267.0
2024-04-14,17063.0
2024-04-21,17243.0
2024-04-28,16775.0
2024-05-05,15525.0
2024-05-12,16025.0
2024-05-19,16520.0
2024-05-26,15898.0
2024-06-02,17079.0
2024-06-09,17798.0
2024-06-16,16547.0
2024-06-23,16607.0
2024-06-30,16094.0
2024-07-07,15784.0
2024-07-14,16138.0
2024-07-21,17148.0
2024-07-28,17232.0
2024-08-04,15531.0
2024-08-11,15128.0
2024-08-18,14432.0
2024-08-25,16663.0
2024-09-01,17170.0
2024-09-08,16704.0
2024-09-15,16731.0
2024-09-22,17054.0
2024-09-29,16665.0
2024-10-06,17031.0
2024-10-13,16528.0
2024-10-20,16183.0
2024-10-27,15903.0
2024-11-03,14618.0
2024-11-10,16056.0
2024-11-17,16032.0
2024-11-24,15459.0
2024-12-01,15824.0
2024-12-08,15827.0
2024-12-15,15745.0
2024-12-22,16048.0
2024-12-29,11808.0
