date,O3 Locarno mensili 2020-24,station_id
2020-01-15,,Locarno
2020-02-15,,Locarno
2020-03-15,6.0,Locarno
2020-04-15,85.0,Locarno
2020-05-15,77.0,Locarno
2020-06-15,53.0,Locarno
2020-07-15,134.0,Locarno
2020-08-15,111.0,Locarno
2020-09-15,38.0,Locarno
2020-10-15,,Locarno
2020-11-15,,Locarno
2020-12-15,,Locarno
2021-01-15,,Locarno
2021-02-15,,Locarno
2021-03-15,10.0,Locarno
2021-04-15,38.0,Locarno
2021-05-15,33.0,Locarno
2021-06-15,140.0,Locarno
2021-07-15,55.0,Locarno
2021-08-15,58.0,Locarno
2021-09-15,51.0,Locarno
2021-10-15,,Locarno
2021-11-15,,Locarno
2021-12-15,,Locarno
2022-01-15,,Locarno
2022-02-15,,Locarno
2022-03-15,31.0,Locarno
2022-04-15,56.0,Locarno
2022-05-15,98.0,Locarno
2022-06-15,111.0,Locarno
2022-07-15,207.0,Locarno
2022-08-15,146.0,Locarno
2022-09-15,13.0,Locarno
2022-10-15,,Locarno
2022-11-15,,Locarno
2022-12-15,,Locarno
2023-01-15,,Locarno
2023-02-15,,Locarno
2023-03-15,5.0,Locarno
2023-04-15,10.0,Locarno
2023-05-15,42.0,Locarno
2023-06-15,151.0,Locarno
2023-07-15,81.0,Locarno
2023-08-15,110.0,Locarno
2023-09-15,41.0,Locarno
2023-10-15,3.0,Locarno
2023-11-15,,Locarno
2023-12-15,,Locarno
2024-01-15,,Locarno
2024-02-15,,Locarno
2024-03-15,1.0,Locarno
2024-04-15,16.0,Locarno
2024-05-15,17.0,Locarno
2024-06-15,44.0,Locarno
2024-07-15,110.0,Locarno
2024-08-15,127.0,Locarno
2024-09-15,2.0,Locarno
2024-10-15,,Locarno
2024-11-15,,Locarno
2024-12-15,,Locarno
