date,No Bioggio mensili 2020-24,NO2  Bioggio mensili 2020-24,NOx  Bioggio mensili 2020-24,PM 10  Bioggio mensili 2020-24,PM 2.5  Bioggio mensili 2020-24,station_id
2020-01-15,57.0,47.0,70.0,27.0,17.0,Bioggio
2020-02-15,25.0,37.0,39.0,27.0,19.0,Bioggio
2020-03-15,6.0,20.0,15.0,21.0,14.0,Bioggio
2020-04-15,3.0,16.0,11.0,22.0,14.0,Bioggio
2020-05-15,2.0,12.0,8.0,14.0,7.0,Bioggio
2020-06-15,3.0,12.0,9.0,10.0,5.0,Bioggio
2020-07-15,3.0,16.0,11.0,15.0,8.0,Bioggio
2020-08-15,3.0,18.0,12.0,13.0,7.0,Bioggio
2020-09-15,8.0,23.0,18.0,16.0,10.0,Bioggio
2020-10-15,17.0,24.0,26.0,12.0,7.0,Bioggio
2020-11-15,34.0,34.0,45.0,31.0,23.0,Bioggio
2020-12-15,32.0,36.0,45.0,18.0,15.0,Bioggio
2021-01-15,23.0,38.0,38.0,23.0,17.0,Bioggio
2021-02-15,16.0,32.0,29.0,36.0,22.0,Bioggio
2021-03-15,12.0,28.0,24.0,25.0,15.0,Bioggio
2021-04-15,5.0,20.0,14.0,20.0,12.0,Bioggio
2021-05-15,3.0,14.0,9.0,8.0,4.0,Bioggio
2021-06-15,2.0,15.0,9.0,17.0,9.0,Bioggio
2021-07-15,3.0,17.0,12.0,13.0,7.0,Bioggio
2021-08-15,3.0,17.0,11.0,12.0,6.0,Bioggio
2021-09-15,6.0,24.0,18.0,17.0,10.0,Bioggio
2021-10-15,18.0,26.0,28.0,18.0,11.0,Bioggio
2021-11-15,25.0,29.0,35.0,16.0,11.0,Bioggio
2021-12-15,56.0,41.0,66.0,25.0,18.0,Bioggio
2022-01-15,35.0,38.0,48.0,27.0,20.0,Bioggio
2022-02-15,23.0,35.0,37.0,24.0,15.0,Bioggio
2022-03-15,10.0,33.0,26.0,43.0,29.0,Bioggio
2022-04-15,6.0,22.0,16.0,20.0,12.0,Bioggio
2022-05-15,3.0,14.0,10.0,17.0,10.0,Bioggio
2022-06-15,3.0,15.0,10.0,19.0,9.0,Bioggio
2022-07-15,3.0,16.0,11.0,18.0,10.0,Bioggio
2022-08-15,3.0,17.0,11.0,13.0,7.0,Bioggio
2022-09-15,7.0,19.0,15.0,13.0,6.0,Bioggio
2022-10-15,18.0,23.0,26.0,22.0,13.0,Bioggio
2022-11-15,25.0,29.0,35.0,17.0,11.0,Bioggio
2022-12-15,38.0,34.0,48.0,23.0,17.0,Bioggio
2023-01-15,25.0,31.0,36.0,23.0,16.0,Bioggio
2023-02-15,21.0,33.0,34.0,35.0,24.0,Bioggio
2023-03-15,10.0,27.0,22.0,25.0,17.0,Bioggio
2023-04-15,6.0,20.0,15.0,14.0,8.0,Bioggio
2023-05-15,3.0,12.0,9.0,12.0,7.0,Bioggio
2023-06-15,2.0,11.0,8.0,16.0,9.0,Bioggio
2023-07-15,3.0,13.0,9.0,16.0,9.0,Bioggio
2023-08-15,2.0,12.0,8.0,16.0,9.0,Bioggio
2023-09-15,6.0,20.0,15.0,17.0,9.0,Bioggio
2023-10-15,11.0,22.0,20.0,20.0,10.0,Bioggio
2023-11-15,19.0,28.0,30.0,12.0,7.0,Bioggio
2023-12-15,31.0,34.0,42.0,18.0,13.0,Bioggio
2024-01-15,31.0,35.0,43.0,23.0,17.0,Bioggio
2024-02-15,21.0,30.0,32.0,20.0,14.0,Bioggio
2024-03-15,6.0,21.0,16.0,15.0,10.0,Bioggio
2024-04-15,6.0,16.0,13.0,12.0,6.0,Bioggio
2024-05-15,3.0,12.0,8.0,9.0,5.0,Bioggio
2024-06-15,3.0,11.0,8.0,15.0,8.0,Bioggio
2024-07-15,2.0,12.0,8.0,17.0,10.0,Bioggio
2024-08-15,2.0,15.0,10.0,18.0,11.0,Bioggio
2024-09-15,4.0,14.0,11.0,10.0,5.0,Bioggio
2024-10-15,10.0,17.0,17.0,13.0,7.0,Bioggio
2024-11-15,26.0,30.0,37.0,22.0,15.0,Bioggio
2024-12-15,32.0,35.0,44.0,21.0,14.0,Bioggio
