date,precipitazioni,temperatura
2020-02,,7.8
2020-03,,8.6
2020-04,,13.4
2020-05,,17.6
2020-06,,19.7
2020-07,,23.1
2020-08,,23.1
2020-09,,18.9
2020-10,,12.3
2020-11,,9.5
2020-12,,4.9
2021-01,,3.5
2021-02,,7.0
2021-03,,9.2
2021-04,,11.0
2021-05,,15.1
2021-06,44.2,22.1
2021-07,335.0,22.1
2021-08,190.2,21.8
2021-09,169.6,19.2
2021-10,140.4,12.7
2021-11,162.4,8.5
2021-12,3.0,5.1
2022-01,9.6,5.4
2022-02,11.8,7.1
2022-03,6.8,8.4
2022-04,73.4,12.3
2022-05,113.4,18.6
2022-06,173.4,22.5
2022-07,153.2,25.4
2022-08,126.6,24.0
2022-09,271.8,18.1
2022-10,232.0,15.7
2022-11,75.6,9.7
2022-12,78.0,5.4
2023-01,32.0,5.4
2023-02,4.2,6.8
2023-03,61.0,10.1
2023-04,101.8,12.4
2023-05,191.2,16.5
2023-06,189.6,21.6
2023-07,159.6,23.4
2023-08,205.6,23.3
2023-09,207.6,19.8
2023-10,277.8,16.0
2023-11,81.4,8.5
2023-12,89.2,7.0
2024-01,50.4,5.2
2024-02,189.8,8.0
2024-03,289.4,10.0
2024-04,117.2,12.8
2024-05,370.0,15.5
2024-06,174.4,19.8
2024-07,182.2,24.1
2024-08,87.4,24.8
2024-09,208.4,18.1
2024-10,251.0,14.4
2024-11,12.4,8.4
2024-12,14.0,5.5
