date,O3  Bioggio mensili 2020-24,station_id
2020-01-15,,Bioggio
2020-02-15,1.0,Bioggio
2020-03-15,8.0,Bioggio
2020-04-15,99.0,Bioggio
2020-05-15,77.0,Bioggio
2020-06-15,61.0,Bioggio
2020-07-15,152.0,Bioggio
2020-08-15,124.0,Bioggio
2020-09-15,54.0,Bioggio
2020-10-15,,Bioggio
2020-11-15,,Bioggio
2020-12-15,,Bioggio
2021-01-15,,Bioggio
2021-02-15,,Bioggio
2021-03-15,17.0,Bioggio
2021-04-15,45.0,Bioggio
2021-05-15,40.0,Bioggio
2021-06-15,180.0,Bioggio
2021-07-15,100.0,Bioggio
2021-08-15,65.0,Bioggio
2021-09-15,72.0,Bioggio
2021-10-15,,Bioggio
2021-11-15,,Bioggio
2021-12-15,,Bioggio
2022-01-15,,Bioggio
2022-02-15,,Bioggio
2022-03-15,46.0,Bioggio
2022-04-15,65.0,Bioggio
2022-05-15,120.0,Bioggio
2022-06-15,128.0,Bioggio
2022-07-15,227.0,Bioggio
2022-08-15,184.0,Bioggio
2022-09-15,26.0,Bioggio
2022-10-15,,Bioggio
2022-11-15,,Bioggio
2022-12-15,,Bioggio
2023-01-15,,Bioggio
2023-02-15,,Bioggio
2023-03-15,8.0,Bioggio
2023-04-15,20.0,Bioggio
2023-05-15,50.0,Bioggio
2023-06-15,147.0,Bioggio
2023-07-15,78.0,Bioggio
2023-08-15,97.0,Bioggio
2023-09-15,53.0,Bioggio
2023-10-15,5.0,Bioggio
2023-11-15,,Bioggio
2023-12-15,,Bioggio
2024-01-15,,Bioggio
2024-02-15,,Bioggio
2024-03-15,1.0,Bioggio
2024-04-15,31.0,Bioggio
2024-05-15,26.0,Bioggio
2024-06-15,52.0,Bioggio
2024-07-15,138.0,Bioggio
2024-08-15,150.0,Bioggio
2024-09-15,9.0,Bioggio
2024-10-15,,Bioggio
2024-11-15,,Bioggio
2024-12-15,,Bioggio
